Car Brand,Fuel Type,Aspiration,Number of Doors,Car Body,DriveWheel,Engine Location,Engine Type,Number of Cylinders,Fuel System,Price in Dollars
nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,13499
nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,17199
nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,19699
nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,18399
peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,11900
peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,13200
peugeot,gas,std,four,wagon,rwd,front,l,four,mpfi,12440
peugeot,diesel,turbo,four,wagon,rwd,front,l,four,idi,13860
peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,15580
peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,16900
peugeot,gas,std,four,wagon,rwd,front,l,four,mpfi,16695
peugeot,diesel,turbo,four,wagon,rwd,front,l,four,idi,17075
peugeot,gas,std,four,sedan,rwd,front,l,four,mpfi,16630
peugeot,diesel,turbo,four,sedan,rwd,front,l,four,idi,17950
peugeot,gas,turbo,four,sedan,rwd,front,l,four,mpfi,18150
plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5572
plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,7957
plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6229
plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6692
plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7609
plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl,8921
plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi,12764
porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,22018
porcshce,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,32528
porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi,34028
porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi,37028
porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi,31400.5
renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi,9295
renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,9895
saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,11850
saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,12170
saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,15040
saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,15510
saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,18150
saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,18620
subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,5118
subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,7053
subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,7603
subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,7126
subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,7775
subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,9960
subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,9233
subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,11259
subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,7463
subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,10198
subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl,8013
subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi,11694
toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5348
toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6338
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6488
toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl,6918
toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,7898
toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,8778
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6938
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,7198
toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi,7898
toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi,7788
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7738
toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,8358
toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,9258
toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl,8058
toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl,8238
toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi,9298
toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi,9538
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,8449
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,9639
toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,9989
toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,11199
toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,11549
toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi,17669
toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,8948
toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,10698
toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,9988
toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,10898
toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,11248
toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,16558
toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,15998
toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi,15690
toyouta,gas,std,four,wagon,rwd,front,dohc,six,mpfi,15750
vokswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi,7775
volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi,7975
volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi,7995
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,8195
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,8495
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,9495
volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,9995
vw,gas,std,two,convertible,fwd,front,ohc,four,mpfi,11595
vw,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,9980
volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi,13295
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,13845
volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi,12290
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,12940
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,13415
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,15985
volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,16515
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,18420
volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,18950
volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,16845
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,19045
volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,21485
volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,22470
volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,22625
